GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
seckill-admin,com.seckill.admin.interceptor,AdminAuthorizationInterceptor.new RequireAdmin() {...},2,10,0,0,1,2,1,2,1,2
seckill-admin,com.seckill.admin.interceptor,AdminAuthorizationInterceptor,0,70,0,10,0,18,0,9,0,4
seckill-admin,com.seckill.admin.dto.seckill,AdminSeckillActivityResponse,392,46,86,0,9,2,56,12,13,12
seckill-admin,com.seckill.admin.dto.seckill,AdminSeckillStatisticsResponse.GoodsStatistics,286,31,62,0,7,1,42,8,11,8
seckill-admin,com.seckill.admin.dto.seckill,AdminSeckillStatisticsResponse.TimeDistribution,104,11,22,0,2,1,17,3,6,3
seckill-admin,com.seckill.admin.dto.seckill,AdminSeckillStatisticsResponse,527,73,118,0,8,7,72,20,13,20
seckill-admin,com.seckill.admin.dto.seckill,AdminSeckillActivityDetailResponse.AdminSeckillGoodsDetailResponse,357,0,70,0,9,0,56,0,21,0
seckill-admin,com.seckill.admin.dto.seckill,AdminSeckillActivityDetailResponse,458,63,102,0,8,5,63,17,12,17
seckill-admin,com.seckill.admin.dto.seckill,AdminSeckillGoodsItemRequest,165,35,38,0,0,6,23,9,4,9
seckill-admin,com.seckill.admin.dto.seckill,AdminSeckillActivityRequest,307,52,70,0,1,8,41,15,6,15
seckill-admin,com.seckill.admin.dto,AdminLoginResponse,272,43,62,0,3,5,38,12,7,12
seckill-admin,com.seckill.admin.dto,AdminLoginRequest,98,17,22,0,0,3,15,5,4,5
seckill-admin,com.seckill.admin.mapper,AdminStatisticsMapper.TopProductItem,0,17,0,0,0,5,0,5,0,5
seckill-admin,com.seckill.admin.mapper,AdminStatisticsMapper.SalesAmountItem,17,0,0,0,5,0,5,0,5,0
seckill-admin,com.seckill.admin.mapper,AdminStatisticsMapper.SalesCountItem,17,0,0,0,5,0,5,0,5,0
seckill-admin,com.seckill.admin.dto.stats,TopProductsResponse,100,17,22,0,0,3,15,5,4,5
seckill-admin,com.seckill.admin.dto.stats,DashboardStatsResponse,174,25,38,0,2,3,25,7,6,7
seckill-admin,com.seckill.admin.dto.stats,DashboardStatsResponse.OverviewStats,388,49,86,0,8,3,55,13,12,13
seckill-admin,com.seckill.admin.dto.stats,DashboardStatsResponse.RecentOrder,316,0,62,0,8,0,50,0,19,0
seckill-admin,com.seckill.admin.dto.stats,SalesStatsResponse.SeriesItem,138,18,30,0,2,2,21,5,6,5
seckill-admin,com.seckill.admin.dto.stats,DashboardStatsResponse.SalesTrendItem,141,15,30,0,3,1,22,4,7,4
seckill-admin,com.seckill.admin.dto.stats,SalesStatsResponse,134,24,30,0,0,4,19,7,4,7
seckill-admin,com.seckill.admin.dto.stats,TopProductsResponse.SeriesItem,138,18,30,0,2,2,21,5,6,5
seckill-admin,com.seckill.admin.dto.stats,SalesStatsResponse.Legend,66,10,14,0,0,2,11,3,4,3
seckill-admin,com.seckill.admin.dto.stats,DashboardStatsResponse.TopSellingProduct,196,0,38,0,5,0,32,0,13,0
seckill-admin,com.seckill.admin.entity,Admin,346,52,78,0,2,8,47,15,8,15
seckill-admin,com.seckill.admin.service.impl,AdminSeckillServiceImpl,80,828,14,36,21,184,13,26,1,12
seckill-admin,com.seckill.admin.service.impl,AdminAuthServiceImpl,6,130,3,5,1,24,3,4,0,3
seckill-admin,com.seckill.admin.service.impl,AdminStatisticsServiceImpl,15,390,1,7,0,101,4,8,3,5
seckill-admin,com.seckill.admin.controller,AdminCategoryController,29,0,0,0,7,0,4,0,4,0
seckill-admin,com.seckill.admin.controller,AdminUserController,91,0,2,0,18,0,5,0,4,0
seckill-admin,com.seckill.admin.controller,AdminSeckillController,42,0,0,0,8,0,6,0,6,0
seckill-admin,com.seckill.admin.controller,AdminAuthController,12,0,0,0,2,0,2,0,2,0
seckill-admin,com.seckill.admin.controller,AdminSeckillPreheatController,22,0,0,0,5,0,3,0,3,0
seckill-admin,com.seckill.admin.controller,AdminGoodsController,47,0,0,0,10,0,6,0,6,0
seckill-admin,com.seckill.admin.controller,AdminUploadController,199,0,18,0,36,0,13,0,4,0
seckill-admin,com.seckill.admin.controller,AdminOrderController,88,0,0,0,16,0,4,0,4,0
seckill-admin,com.seckill.admin.controller,AdminStatisticsController,31,0,0,0,5,0,5,0,5,0
seckill-admin,com.seckill.admin.config,AdminWebMvcConfig,26,0,0,0,5,0,2,0,2,0
seckill-admin,com.seckill.admin.enums,AdminRoleEnum,0,36,0,0,0,8,0,3,0,3
seckill-admin,com.seckill.admin.dto.user,AdminUserStatusUpdateRequest,75,0,14,0,2,0,14,0,7,0
seckill-admin,com.seckill.admin.dto.user,AdminUserListResponse,478,0,94,0,12,0,74,0,27,0
seckill-admin,com.seckill.admin.dto.user,AdminUserDetailResponse,640,0,126,0,16,0,98,0,35,0
seckill-admin,com.seckill.admin.dto.order,AdminOrderDetailResponse,880,0,174,0,22,0,134,0,47,0
seckill-admin,com.seckill.admin.dto.order,AdminOrderListResponse,478,0,94,0,12,0,74,0,27,0
seckill-admin,com.seckill.admin.dto.order,AdminOrderShipRequest,115,0,22,0,3,0,20,0,9,0
