GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
seckill-goods,com.seckill.goods.entity,Goods,370,73,88,0,1,11,48,21,4,21
seckill-goods,com.seckill.goods.entity,Category,312,45,70,0,2,7,43,13,8,13
seckill-goods,com.seckill.goods.entity,SeckillActivity,351,48,78,0,2,8,48,14,9,14
seckill-goods,com.seckill.goods.entity,SeckillGoods,353,45,78,0,3,7,49,13,10,13
seckill-goods,com.seckill.goods.task,SeckillPreheatTask,0,22,0,2,0,6,0,4,0,3
seckill-goods,com.seckill.goods.service.impl,SeckillPreheatServiceImpl,19,363,13,21,7,77,13,16,0,11
seckill-goods,com.seckill.goods.service.impl,GoodsServiceImpl,167,1213,43,94,28,254,43,59,2,30
seckill-goods,com.seckill.goods.service.impl,CategoryServiceImpl,34,422,14,36,7,92,15,23,1,12
seckill-goods,com.seckill.goods.service.impl,SeckillGoodsServiceImpl,66,757,28,62,12,160,25,46,1,24
seckill-goods,com.seckill.goods.service.impl,GoodsServiceImpl.SeckillSnapshot,0,9,0,0,0,1,0,1,0,1
seckill-goods,com.seckill.goods.controller,CategoryController,11,0,0,0,2,0,2,0,2,0
seckill-goods,com.seckill.goods.controller,SeckillGoodsController,20,0,0,0,3,0,3,0,3,0
seckill-goods,com.seckill.goods.controller,GoodsController,22,0,0,0,3,0,3,0,3,0
seckill-goods,com.seckill.goods.dto,SeckillActivityDetailResponse,378,61,86,0,4,7,51,17,8,17
seckill-goods,com.seckill.goods.dto,GoodsListResponse,462,56,102,0,9,4,65,15,14,15
seckill-goods,com.seckill.goods.dto,CategoryRequest,197,50,46,0,0,8,27,11,4,11
seckill-goods,com.seckill.goods.dto,SeckillGoodsItemResponse,385,52,86,0,7,4,54,14,11,14
seckill-goods,com.seckill.goods.dto,AdminGoodsListResponse,464,54,102,0,11,2,66,14,15,14
seckill-goods,com.seckill.goods.dto,AdminGoodsSaveRequest,335,62,78,0,0,10,44,18,5,18
seckill-goods,com.seckill.goods.dto,GoodsDetailResponse,714,88,158,0,16,4,99,23,20,23
seckill-goods,com.seckill.goods.dto,GoodsStatusUpdateRequest,75,0,14,0,2,0,14,0,7,0
seckill-goods,com.seckill.goods.dto,CategoryTreeResponse,244,37,54,0,3,4,35,9,8,9
seckill-goods,com.seckill.goods.dto,SeckillActivityListResponse,314,44,70,0,5,4,44,12,9,12
