GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
seckill-order,com.seckill.order.entity,Order,885,157,206,0,3,23,113,45,10,45
seckill-order,com.seckill.order.entity,PayRecord,379,60,86,0,3,8,51,17,8,17
seckill-order,com.seckill.order.controller,PayController,45,0,0,0,10,0,5,0,5,0
seckill-order,com.seckill.order.controller,OrderController,33,0,0,0,9,0,4,0,4,0
seckill-order,com.seckill.order.service.impl,PayServiceImpl,83,488,18,32,16,117,17,18,0,10
seckill-order,com.seckill.order.service.impl,PayServiceImpl.PaySuccessMessage,0,9,0,0,0,1,0,1,0,1
seckill-order,com.seckill.order.service.impl,StockRollbackServiceImpl,0,305,0,6,0,49,0,9,0,6
seckill-order,com.seckill.order.service.impl,OrderServiceImpl,40,506,23,37,8,106,23,14,0,7
seckill-order,com.seckill.order.service.impl,OrderCreateServiceImpl,30,233,8,12,6,46,8,6,0,4
seckill-order,com.seckill.order.service.impl,OrderAdminServiceImpl,0,60,0,8,0,14,0,6,0,2
seckill-order,com.seckill.order.mq,OrderTimeoutMessage,267,52,62,0,0,11,36,14,5,14
seckill-order,com.seckill.order.mq,OrderPaySuccessConsumer,0,91,0,4,0,22,0,5,0,3
seckill-order,com.seckill.order.mq,OrderTimeoutProducer,61,4,0,0,10,1,2,1,2,1
seckill-order,com.seckill.order.mq,OrderPaySuccessConsumer.PaySuccessMessage,183,25,38,0,2,10,28,5,9,5
seckill-order,com.seckill.order.mq,OrderTimeoutConsumer,0,183,0,10,0,46,0,9,0,4
seckill-order,com.seckill.order.dto,OrderDetailResponse.AddressSnapshot,273,27,54,0,7,1,38,7,11,7
seckill-order,com.seckill.order.dto,PayStatusResponse,349,48,78,0,6,4,49,13,10,13
seckill-order,com.seckill.order.dto,PayCreateResponse.PayParams,104,11,22,0,2,1,17,3,6,3
seckill-order,com.seckill.order.dto,PayCallbackRequest,155,0,30,0,4,0,26,0,11,0
seckill-order,com.seckill.order.dto,OrderListResponse,426,53,94,0,9,3,60,14,13,14
seckill-order,com.seckill.order.dto,PayCreateResponse,275,43,62,0,3,5,38,12,7,12
seckill-order,com.seckill.order.dto,PayCreateRequest,115,0,22,0,3,0,20,0,9,0
seckill-order,com.seckill.order.dto,OrderDetailResponse,787,96,174,0,18,4,109,25,22,25
seckill-order,com.seckill.order.dto,CreateSeckillOrderCommand,365,73,86,0,1,11,48,21,5,21
seckill-order,com.seckill.order.dto,CreateSeckillOrderResult,106,15,22,0,1,3,17,3,6,3
