GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
seckill-user,com.seckill.user.controller,UserController,77,10,4,0,22,2,10,2,8,2
seckill-user,com.seckill.user.controller,AddressController,68,10,0,0,20,2,6,2,6,2
seckill-user,com.seckill.user.entity,User,407,77,96,0,2,11,53,22,5,22
seckill-user,com.seckill.user.entity,Address,303,59,72,0,1,9,40,17,4,17
seckill-user,com.seckill.user.service.impl,AddressServiceImpl,42,309,13,29,9,72,12,20,1,10
seckill-user,com.seckill.user.service.impl,UserAdminServiceImpl,0,64,0,8,0,12,0,6,0,2
seckill-user,com.seckill.user.service.impl,UserServiceImpl,101,661,17,47,21,141,14,30,0,12
seckill-user,com.seckill.user.dto,UserRegisterRequest,263,52,62,0,0,8,35,15,4,15
seckill-user,com.seckill.user.dto,PasswordUpdateRequest,131,24,30,0,0,4,19,7,4,7
seckill-user,com.seckill.user.dto,UserLoginRequest,98,17,22,0,0,3,15,5,4,5
seckill-user,com.seckill.user.dto,AddressRequest,263,52,62,0,0,8,35,15,4,15
seckill-user,com.seckill.user.dto,TokenRefreshRequest,65,10,14,0,0,2,11,3,4,3
seckill-user,com.seckill.user.dto,UserLoginResponse,272,43,62,0,3,5,38,12,7,12
seckill-user,com.seckill.user.dto,UserUpdateRequest,165,31,38,0,0,5,23,9,4,9
seckill-user,com.seckill.user.dto,UserRegisterResponse,272,43,62,0,3,5,38,12,7,12
seckill-user,com.seckill.user.dto,TokenRefreshResponse,155,0,30,0,4,0,26,0,11,0
seckill-user,com.seckill.user.dto,UserInfoResponse,419,59,94,0,7,5,58,16,11,16
seckill-user,com.seckill.user.dto,AddressResponse,388,49,86,0,8,3,55,13,12,13
